archipelago,complex chain of islands 
canada,leading rice producer 
brazil,country with highest potentiality of hydroelectricity 
greenland,country with no grass pitch
portugal,cristiono ronaldo
andora,counntry ruled by prince
australia,national animal: kangaroo
nepal,country of temple
australia,country of emus
china,highest population
india,deccan plateu
venezuala,angel's face
usa,international date line
russia,largest country
vatican city,smallst country
japan,country of sunrise
nepal,dana george
jhola,bag
thooli,antonym of sani
big boss,indian reality show
karan arjun,salman and sharukh khan
dui rupiyan,kutu ma kutu
chakkka panja,deepak deepa
dangal,aamir khan
sabdha,saugat malla
hostel,anmol kc
thailand,land of white elephants
polo,game having largest pitch
shawshank redemption,top rated movie
aama,1st flim of nepal
stable,immovable
mysterious,puzzling
precise,correct
blunder,mistake
accuracy,correct
dictator,autocrat
accuracy,antonym:inaccuracy
gloomy,antonym:sad
cold,antonym: hot
marvelous,fascinating
extraordinary,having many talents
cowardice,antonym: bravery
accustomed,habit
caspian sea,largest lake
illitrate,antonym:literate
compartment,a separate division or section
squirrel,can't remember where they hide half of their nuts
goose,the first bird domesticated by man
octopus,animal having multiple heart
camel,animal that milk does not curdle
cheetah,fastest land animal
rhinoceros, animal that horn is made of hair
snakes, animal that have ear inside their heads
leopard, national animal of somalia
carabao, national animal of philippines
cow, national animal of nepal
panda, national animal of china
pergrine falcon,fastest bird
bats,only mammals that can fly,
honeybees, animals that  can get STDs
bulldog,national animal of united kingdoms
elephant,national animal of thailand
ostrich,animal that runs faster than horses
australia,country of sheep
maldives,lowest island
folkland,island of sheep
egypt,oldest sovergion state
mongolia,densely populated country
russia,football world cup 2018
saudi arabia,land of no river
nigeria,world's youngest population
india,most diverse country
ukraine,fastest disappearing nation
suriname,country of jungle
haiti,treeless country
papua new guniea,country of language
libya,country of desert
canada,educated people
somalia,country of least peace
russia,country of oxygen
the kapil sharma show,indian comedy show
big bang theory,english comedy show
robot,rajnikant hit movie
cha ekan cha,deepak deepa
sakuntala,rajesh hamal
nepali babu,bhuwan kc
tilicho,highest altitude lake
friends,i ll be there for you
titanic,every night in my dream
game of thrones,chaos isnt a pit.chaos is a ladder
fast and furious,See You Again
life is beautiful,roberto benigni
ambiguous,unclear
benevolent,kind
ommison,sin
debase,corrupt
bogus,false
prudent,wise
abridge,to reduce in scope
apathetic,having no feeling
precarious,safe
inspid,boring
valour,courage
daredevil,adventurer
sneaky,one who works secretlty
congregation,assembly
lion,animal that can rest for 20 hours a day.
dog, animal that are all descendants of wolves.
cat,animal that has 32 muscles in each ear.
tiger, animal that can swim up to 6  kilometers.
ant eaters,animals that dont have teeth.
duck,animals that like to surf.
snail,animal that can grow back a new eye 
python,longest snake
cow,animal that can sleep  standing up
mount kilimanjaro,highest peak of Africa
Savanna grassland,zoo of the world
dumplings,national food of china
pot au feu,national food of france
hamburgar,national food of USA
irish stew,national food of Ireland
asia,continent of contrast
africa,Dark Continent
verkhoysnsk,coldest place
red panda,endangered animal of nepal
pakistan,country
algeria,country
cameroon,country
yemen,country
zambia,country
vietnam,country
vanuayu,country
tuvala,country
swaziland,country
sierra leone,country
sengal,country
seychelles,country
samoa,country
panama,country
nicaragua,country
mozambique,country
malawi,country
madagascar,country
benediction,vocabulary
timidity,vocabulary
aboveboard,vocabulary
merriment,vocabulary
assdious,vocabulary
amolgamate,vocabulary
beaming,vocabulary
crafty,vocabulary
erudite,vocabulary
profane,vocabulary
bragging,vocabulary
prison break,movies & tv shows
god of egypt,movies & tv shows
now you see me,movies & tv shows
perfume,movies & tv shows
iron fist,movies & tv shows
the dark knight,movies & tv shows
wolverine,movies & tv shows
shameless,movies & tv shows
house of cards,movies & tv shows
jack reacher,movies & tv shows
home alone,movies & tv shows
beauty and the beast,movies & tv shows
dunkrik,movies & tv shows
moonlight,movies & tv shows
the maze runner,movies & tv shows
the godfather,movies & tv shows
pulp fiction,movies & tv shows
fight club,movies & tv shows
the matrix,movies & tv shows
american bison,animal
shrimp's,animal
chevrotain,animal
dragonflies,animal
prairie dogs,animal
fleas,animal
koala,animal
oysters,animal
slugs,animal
antelope,animal
alligator,animal
pig,animal
markhor,animal
european bison,animal
